,sh,phylum,class,order,family,genus,species
372,AC152122.12011.13800,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis
599,AC152108.6054.7843,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis
1774,KF176610.1.1631,Basidiomycota,Agaricomycetes,Haliclona sp. BC1,,Haliclona,Haliclona sp. BC1
2694,LC187038.1.1606,Basidiomycota,,,,,
3004,MH697739.1.1812,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Polyrhabdina sp. SR-2018a
4602,CU874468.1.1374,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora anserina
7167,JB973635.6.1232,Ascomycota,Sordariomycetes,Sphaerodes mycoparasitica,,Sphaerodes,Sphaerodes mycoparasitica
9384,GZ486156.1.1688,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
9416,GZ486155.2.1699,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
9845,GZ486161.1.1696,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
9943,GZ486163.1.1707,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,unidentified
10397,AB000663.1.2107,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys terrestris
10404,AB001110.1.1772,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,Cephaliophora tropica
10413,AB002062.1.1771,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavipes
10415,AB002074.1.1751,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cremeus
10421,AB003944.1.2196,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Trichocoma,Trichocoma paradoxa
10424,AB005561.1.1759,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella imperatae
10430,AB007667.1.1754,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia europhioides
10478,AB000651.1.1736,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum fermentans
10481,AB000956.1.1740,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina pruni
10489,AB002082.1.1761,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Eurotium,Eurotium athecium
10491,AB003788.1.1749,Ascomycota,Sordariomycetes,Sordariales,Incertae Sedis,Kionochaeta,Kionochaeta ramifera
10493,AB003952.1.1777,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Chromocleista,Chromocleista cinnabarina
10495,AB007656.1.1746,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Graphilbum,Graphilbum fragrans
10496,AB007657.1.1755,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Graphium,Graphium album
10497,AB007663.1.1745,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma piceae
10498,AB007668.1.1749,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium penicillatum
10508,AB013502.1.1731,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Diutina rugosa
10510,AB013518.1.1784,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae Sedis,Candida,Candida insectamans
10514,AB013542.1.1781,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida,Kurtzmaniella-Candida clade
10520,AB014045.1.1771,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon fragiforme
10524,AB015767.1.1686,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,Auxarthron compactum
10526,AB015782.1.1688,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Ascocalvatia,Ascocalvatia alveolata
10532,AB016010.1.1740,Zoopagomycotina,Zoopagales,Kuzuhaea,Kuzuhaea moniliformis,Kuzuhaea,Kuzuhaea moniliformis
10535,AB016292.1.1752,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis
10537,AB016510.1.1753,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania-Candida,Kazachstania-Candida clade
10543,AB018123.1.1765,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys adeninivorans
