occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Archaeorhizomycetales","Archaeorhizomycetales","7796702","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales",,,,"Archaeorhizomycetales",,"7796702",
,"Candelariales","Candelariales","1269","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Candelariomycetes","Candelariales",,,,"Candelariales",,"1269",
,"Capnodiales","Capnodiales","1262","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Capnodiales",,,,"Capnodiales",,"1262",
,"Chaetothyriales","Chaetothyriales","1038","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",,,,"Chaetothyriales",,"1038",
,"Helotiales","Helotiales","1052","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Leotiomycetes","Helotiales",,,,"Helotiales",,"1052",
,"Hypocreales","Hypocreales","1290","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Sordariomycetes","Hypocreales",,,,"Hypocreales",,"1290",
,"Others (<2%)","Fungi","5","HIGHERRANK","99","ACCEPTED","KINGDOM","Fungi",,,,,,,"Fungi",,"5",
,"Thelebolales","Thelebolales","1054","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Leotiomycetes","Thelebolales",,,,"Thelebolales",,"1054",
,"Botryosphaeriales","Botryosphaeriales","1032","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales",,,,"Botryosphaeriales",,"1032",
,"Dothideales","Ascomycota","95","HIGHERRANK","95","ACCEPTED","PHYLUM","Fungi","Ascomycota",,,,,,"Ascomycota",,"95",
,"Glomerales","Glomerales","1148","EXACT","96","ACCEPTED","ORDER","Fungi","Glomeromycota","Glomeromycetes","Glomerales",,,,"Glomerales",,"1148",
,"Lecanorales","Lecanorales","1048","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Lecanoromycetes","Lecanorales",,,,"Lecanorales",,"1048",
,"Pleosporales","Pleosporales","1047","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Pleosporales",,,,"Pleosporales",,"1047",
,"Venturiales","Venturiales","7446671","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Venturiales",,,,"Venturiales",,"7446671",
,"Agaricales","Agaricales","1499","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Agaricales",,,,"Agaricales",,"1499",
,"Auriculariales","Auriculariales","1062","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",,,,"Auriculariales",,"1062",
,"Cantharellales","Cantharellales","1300","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Cantharellales",,,,"Cantharellales",,"1300",
,"Cystofilobasidiales","Cystofilobasidiales","1125","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales",,,,"Cystofilobasidiales",,"1125",
,"Polyporales","Polyporales","1145","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Polyporales",,,,"Polyporales",,"1145",
,"Sebacinales","Sebacinales","531","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Sebacinales",,,,"Sebacinales",,"531",
,"Xylariales","Xylariales","1298","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Sordariomycetes","Xylariales",,,,"Xylariales",,"1298",
,"Pucciniales","Pucciniales","1126","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales",,,,"Pucciniales",,"1126",
,"Saccharomycetales","Saccharomycetales","1281","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",,,,"Saccharomycetales",,"1281",
,"Erysiphales","Fungi","5","HIGHERRANK","99","ACCEPTED","KINGDOM","Fungi",,,,,,,"Fungi",,"5",
,"Endogonales","Endogonales","751","EXACT","96","ACCEPTED","ORDER","Fungi","Mucoromycota","Endogonomycetes","Endogonales",,,,"Endogonales",,"751",
,"Mucorales","Mucorales","749","EXACT","96","ACCEPTED","ORDER","Fungi","Mucoromycota","Mucoromycetes","Mucorales",,,,"Mucorales",,"749",
,"Mortierellales","Mortierellales","858","EXACT","96","ACCEPTED","ORDER","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales",,,,"Mortierellales",,"858",
