,sh,kingdom,phylum,class,order,family,genus,assignedLevel
0,SH1146893.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
1,SH1310971.09FU,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,,,order
2,SH0943983.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,order
3,SH1311052.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
4,SH1276050.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Clavulinaceae,,family
5,SH1218565.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
6,SH1068285.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Patellariopsis,genus
7,SH0930058.09FU,k__Fungi,p__Ascomycota,c__Xylonomycetes,o__Symbiotaphrinales,f__Symbiotaphrinaceae,g__Symbiotaphrina,genus
8,SH1075626.09FU,k__Fungi,p__Chytridiomycota,,,,,phylum
9,SH1151113.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
10,SH1171539.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Psilocybe,genus
11,SH1235113.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,genus
12,SH1022563.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,class
13,SH1001150.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Dipodascaceae,g__Geotrichum,genus
14,SH1282620.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,genus
15,SH1074799.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,g__Ramalina,genus
16,SH1250709.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,genus
17,SH1048937.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,,,order
18,SH1120057.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
19,SH1129966.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,genus
20,SH1135806.09FU,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,genus
21,SH0904041.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,order
22,SH0995772.09FU,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,family
23,SH1207562.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,genus
24,SH1276408.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,genus
25,SH1174856.09FU,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,genus
26,SH1154460.09FU,k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,f__Rhizophlyctidaceae,g__Rhizophlyctis,genus
27,SH1164897.09FU,k__Fungi,p__Ascomycota,c__Pneumocystomycetes,o__Pneumocystales,f__Pneumocystaceae,g__Pneumocystis,genus
28,SH1078813.09FU,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola,genus
29,SH1086532.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
30,SH1003144.09FU,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,genus
31,SH1293655.09FU,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Parmeliaceae,,family
32,SH1105868.09FU,k__Fungi,p__Chytridiomycota,c__Cladochytriomycetes,o__Cladochytriales,f__Cladochytriaceae,g__Cladochytrium,genus
33,SH0924365.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,genus
34,SH1278460.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Bankeraceae,g__Sarcodon,genus
35,SH1086721.09FU,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Tricholoma,genus
36,SH1069104.09FU,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Metschnikowiaceae,g__Metschnikowia,genus
