occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Archaeorhizomyces","Archaeorhizomyces Rosling & T.James","7628767","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",,"Archaeorhizomyces","Rosling & T.James","7628767",
,"Cryptocoryneum","Cryptocoryneum Fuckel","2591277","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cryptocoryneaceae","Cryptocoryneum",,"Cryptocoryneum","Fuckel","2591277",
,"Geotrichum","Geotrichum Link","2518207","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum",,"Geotrichum","Link","2518207",
,"Gromochytrium","Gromochytrium Karpov & Aleoshin, 2014","8193297","EXACT","96","ACCEPTED","GENUS","Fungi","Chytridiomycota","Mesochytriomycetes","Gromochytriales","Gromochytriaceae","Gromochytrium",,"Gromochytrium","Karpov & Aleoshin, 2014","8193297",
,"Orbilia","Orbilia Fr., 1836","2513009","EXACT","95","ACCEPTED","GENUS","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia",,"Orbilia","Fr., 1836","2513009",
,"Others (<2%)","Fungi","5","HIGHERRANK","99","ACCEPTED","KINGDOM","Fungi",,,,,,,"Fungi",,"5",
,"Pannoparmelia","Pannoparmelia (Mull.Arg.) Darbish","2605797","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Pannoparmelia",,"Pannoparmelia","(Mull.Arg.) Darbish","2605797",
,"Patellariopsis","Patellariopsis Dennis","2584706","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Helotiales","Patellariopsidaceae","Patellariopsis",,"Patellariopsis","Dennis","2584706",
,"Ramalina","Ramalina Ach., 1809","2521975","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina",,"Ramalina","Ach., 1809","2521975",
,"Rhizophlyctis","Rhizophlyctis A.Fisher, 1892","8369656","EXACT","95","ACCEPTED","GENUS","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis",,"Rhizophlyctis","A.Fisher, 1892","8369656",
,"Symbiotaphrina","Symbiotaphrina Kühlw. & Jurzitza ex W.Gams & Arx, 1980","2590409","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Xylonomycetes","Symbiotaphrinales","Symbiotaphrinaceae","Symbiotaphrina",,"Symbiotaphrina","Kühlw. & Jurzitza ex W.Gams & Arx, 1980","2590409",
,"Bacillicladium","Bacillicladium Hubka, Réblová & Thureborn","9742414","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bacillicladium",,"Bacillicladium","Hubka, Réblová & Thureborn","9742414",
,"Deltopyxis","Deltopyxis","7573347","EXACT","95","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Cyttariales","Deltopyxidaceae","Deltopyxis",,"Deltopyxis",,"7573347",
,"Neoprotoparmelia","Neoprotoparmelia Garima Singh, Lumbsch & I.Schmitt, 2018","10054091","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Neoprotoparmelia",,"Neoprotoparmelia","Garima Singh, Lumbsch & I.Schmitt, 2018","10054091",
,"Toxicocladosporium","Toxicocladosporium Crous & U.Braun","2624956","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Toxicocladosporium",,"Toxicocladosporium","Crous & U.Braun","2624956",
,"Verrucaria","Ascomycota","95","HIGHERRANK","95","ACCEPTED","PHYLUM","Fungi","Ascomycota",,,,,,"Ascomycota",,"95",
,"Diutina","Diutina Khunnamwong, Lertwattanasakul, Jindam., Limtong & Lachance, 2015","9733968","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",,"Diutina",,"Diutina","Khunnamwong, Lertwattanasakul, Jindam., Limtong & Lachance, 2015","9733968",
,"Serendipita","Serendipita","7872390","EXACT","95","ACCEPTED","GENUS","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",,"Serendipita",,"7872390",
,"Scytalidium","Scytalidium Pesante","9790924","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium",,"Scytalidium","Pesante","9790924",
,"Amylocarpus","Amylocarpus Curr., 1859","2577768","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Leotiomycetes","Helotiales",,"Amylocarpus",,"Amylocarpus","Curr., 1859","2577768",
,"Metschnikowia","Metschnikowia T.Kamienski, 1899","2599000","EXACT","96","ACCEPTED","GENUS","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia",,"Metschnikowia","T.Kamienski, 1899","2599000",
,"Hygrocybe","Hygrocybe (Fr.) P.Kumm., 1871","2523318","EXACT","96","ACCEPTED","GENUS","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe",,"Hygrocybe","(Fr.) P.Kumm., 1871","2523318",
