"","scientificName"
"1","Archaeorhizomycetales"
"2","Cantharellales"
"3","Gigasporales"
"4","Helotiales"
"5","Hypocreales"
"6","Lecanorales"
"7","Orbiliales"
"8","Others (<2%)"
"9","Pleosporales"
"10","Rhizophlyctidales"
"11","Saccharomycetales"
"12","Symbiotaphrinales"
"13","Capnodiales"
"14","Chaetothyriales"
"15","Glomerales"
"16","Mycosphaerellales"
"17","Venturiales"
"18","Agaricales"
"19","Sebacinales"
"20","Rhizophydiales"
"21","Gromochytriales"
"22","Spizellomycetales"
"23","Chytridiales"
