occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Archaeorhizomycetales","Archaeorhizomycetales","7796702","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales",,,,"Archaeorhizomycetales",,"7796702",
,"Cantharellales","Cantharellales","1300","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Cantharellales",,,,"Cantharellales",,"1300",
,"Gigasporales","Fungi","5","HIGHERRANK","99","ACCEPTED","KINGDOM","Fungi",,,,,,,"Fungi",,"5",
,"Helotiales","Helotiales","1052","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Leotiomycetes","Helotiales",,,,"Helotiales",,"1052",
,"Hypocreales","Hypocreales","1290","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Sordariomycetes","Hypocreales",,,,"Hypocreales",,"1290",
,"Lecanorales","Lecanorales","1048","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Lecanoromycetes","Lecanorales",,,,"Lecanorales",,"1048",
,"Orbiliales","Orbiliales","1056","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",,,,"Orbiliales",,"1056",
,"Others (<2%)","Fungi","5","HIGHERRANK","99","ACCEPTED","KINGDOM","Fungi",,,,,,,"Fungi",,"5",
,"Pleosporales","Pleosporales","1047","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Pleosporales",,,,"Pleosporales",,"1047",
,"Rhizophlyctidales","Rhizophlyctidales","1060","EXACT","96","ACCEPTED","ORDER","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales",,,,"Rhizophlyctidales",,"1060",
,"Saccharomycetales","Saccharomycetales","1281","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",,,,"Saccharomycetales",,"1281",
,"Symbiotaphrinales","Symbiotaphrinales","12204565","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Xylonomycetes","Symbiotaphrinales",,,,"Symbiotaphrinales",,"12204565",
,"Capnodiales","Capnodiales","1262","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Capnodiales",,,,"Capnodiales",,"1262",
,"Chaetothyriales","Chaetothyriales","1038","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",,,,"Chaetothyriales",,"1038",
,"Glomerales","Glomerales","1148","EXACT","96","ACCEPTED","ORDER","Fungi","Glomeromycota","Glomeromycetes","Glomerales",,,,"Glomerales",,"1148",
,"Mycosphaerellales","Mycosphaerellales","9783671","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales",,,,"Mycosphaerellales",,"9783671",
,"Venturiales","Venturiales","7446671","EXACT","96","ACCEPTED","ORDER","Fungi","Ascomycota","Dothideomycetes","Venturiales",,,,"Venturiales",,"7446671",
,"Agaricales","Agaricales","1499","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Agaricales",,,,"Agaricales",,"1499",
,"Sebacinales","Sebacinales","531","EXACT","96","ACCEPTED","ORDER","Fungi","Basidiomycota","Agaricomycetes","Sebacinales",,,,"Sebacinales",,"531",
,"Rhizophydiales","Rhizophydiales","1117","EXACT","96","ACCEPTED","ORDER","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",,,,"Rhizophydiales",,"1117",
,"Gromochytriales","Gromochytriales","7679879","EXACT","96","ACCEPTED","ORDER","Fungi","Chytridiomycota","Mesochytriomycetes","Gromochytriales",,,,"Gromochytriales",,"7679879",
,"Spizellomycetales","Spizellomycetales","519","EXACT","96","ACCEPTED","ORDER","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales",,,,"Spizellomycetales",,"519",
,"Chytridiales","Chytridiales","1118","EXACT","96","ACCEPTED","ORDER","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales",,,,"Chytridiales",,"1118",
