;X;sh;phylum;class;order;family;genus;species
1;1774;KF176610.1.1631;Basidiomycota;Agaricomycetes;Haplosclerida;;Haliclona;Haliclona sp. BC1
2;7167;JB973635.6.1232;Ascomycota;Sordariomycetes;Melanosporales;;Sphaerodes;Sphaerodes mycoparasitica
3;10532;AB016010.1.1740;Zoopagomycotina;Zoopagales;Zoopagales;Kuzuhaea moniliformis;Kuzuhaea;Kuzuhaea moniliformis
4;10694;AB016013.1.1900;Zoopagomycotina;Zoopagales;Zoopagales;Thamnocephalis;Thamnocephalis;Thamnocephalis sphaerospora
5;11450;AB011050.1.1649;Basidiomycota;Pucciniomycetes;Pucciniales;;Aecidium;Aecidium epimedii
6;12612;AB015052.1.1785;Glomeromycotina;Archaeosporales;Archaeosporales;Ambispora;Ambispora;Ambispora leptoticha
7;12674;AB016017.1.1720;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella verticillata
8;12827;AB016173.1.1605;Ascomycota;Leotiomycetes;Thelebolales;Pseudogymnoascus pannorum var. asperulatus;Pseudogymnoascus;Pseudogymnoascus pannorum var. asperulatus
9;13000;AB016011.1.1900;Zoopagomycotina;Zoopagales;Zoopagales;Syncephalis depressa;Syncephalis;Syncephalis depressa
10;13061;AB015785.1.2050;Ascomycota;Leotiomycetes;Thelebolales;Pseudogymnoascus pannorum var. pannorum;Pseudogymnoascus;Pseudogymnoascus pannorum var. pannorum
11;13069;KF925452.1.1251;Basidiomycota;Agaricomycetes;Polyporales;;Ganoderma;Ganoderma boninense
12;13609;AB016023.1.1736;Zoopagomycotina;Zoopagales;Zoopagales;Piptocephalis;Piptocephalis;Piptocephalis corymbifera
13;14022;AB016015.1.1746;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. oligosporus
14;14283;AB016174.1.1605;Ascomycota;Leotiomycetes;Thelebolales;Pseudogymnoascus pannorum;Pseudogymnoascus;Pseudogymnoascus pannorum
15;17731;AB047308.1.1794;Glomeromycotina;Archaeosporales;Archaeosporales;Ambispora;Ambispora;Ambispora leptoticha
16;20461;AB047304.1.1794;Glomeromycotina;Archaeosporales;Archaeosporales;Ambispora;Ambispora;Ambispora leptoticha
17;21704;AB196323.1.1566;Kickxellomycotina;Kickxellales;Kickxellales;Ramicandelaber;Ramicandelaber;Ramicandelaber brevisporus
18;23021;AB196322.1.1565;Kickxellomycotina;Kickxellales;Kickxellales;Ramicandelaber;Ramicandelaber;Ramicandelaber longisporus
19;23942;AB250167.1.1763;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus stolonifer var. stolonifer
20;24256;AB278185.1.1663;Ascomycota;Sordariomycetes;Cephalothecales;;Phialemonium;Phialemonium dimorphosporum
21;24493;AB250170.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus schipperae
22;24510;AB250175.1.1756;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus homothallicus
23;24561;AB287986.1.1810;Kickxellomycotina;Kickxellales;Kickxellales;Pinnaticoemansia;Pinnaticoemansia;Pinnaticoemansia coronantispora
24;24598;AB250161.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. rhizopodiformis
25;24698;AB287983.1.1820;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia sp. KFC01-30
26;24786;AB250177.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. oligosporus
27;25580;AB250171.1.1757;Mucoromycotina;Mucorales;Mucorales;Amylomyces;Amylomyces;Amylomyces rouxii
28;25595;AB250176.1.1762;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus stolonifer var. stolonifer
29;25865;AB250169.1.1761;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus americanus
30;25886;AB287984.1.1810;Kickxellomycotina;Kickxellales;Kickxellales;Myconymphaea;Myconymphaea;Myconymphaea yatsukahoi
31;25911;AB250165.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. microsporus
32;25930;AB250173.1.1762;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus stolonifer var. lyococcos
33;25951;AB250168.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus caespitosus
34;25970;AB250174.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus oryzae
35;26191;AB250156.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus azygosporus
36;26230;AB250166.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. oligosporus
37;26492;AB250164.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus oryzae
38;26508;AB250172.1.1762;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus stolonifer var. lyococcos
39;26854;AB250159.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus azygosporus
40;27212;AB295428.1.3219;Kickxellomycotina;Kickxellales;Kickxellales;Linderina;Linderina;Linderina macrospora
41;27350;AB287982.1.2895;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia sp. Kimi
42;27630;AB250162.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus schipperae
43;27839;AB250157.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. chinensis
44;28167;AB250160.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. rhizopodiformis
45;28509;AB287981.1.1780;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia spiralis
46;28881;AB287991.1.1801;Kickxellomycotina;Kickxellales;Kickxellales;Ramicandelaber;Ramicandelaber;Ramicandelaber sp. KYK00187
47;30185;AB250158.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. chinensis
48;30341;AB250163.1.1757;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus sexualis var. sexualis
49;31238;AB016009.1.1618;Zoopagomycotina;Zoopagales;Zoopagales;Zoophagus insidians;Zoophagus;Zoophagus insidians
50;35191;AB586077.1.1836;Incertae Sedis;Cladochytriales;Cladochytriales;Cladochytrium;Cladochytrium;Cladochytrium sp. NBRC 105429
51;35873;AB586075.1.2152;Incertae Sedis;Spizellomycetales;Spizellomycetales;Spizellomyces;Spizellomyces;Spizellomyces sp. NBRC 105423
52;41525;AF038590.1.1753;Glomeromycotina;Diversisporales;Diversisporales;Racocetra;Racocetra;Racocetra castanea
53;42468;AF007535.1.1747;Kickxellomycotina;Harpellales;Harpellales;Furculomyces boomerangus;Furculomyces;Furculomyces boomerangus
54;42682;AF007543.1.1751;Kickxellomycotina;Kickxellales;Kickxellales;Spiromyces;Spiromyces;Spiromyces aspiralis
55;42886;AF082679.1.1577;Basidiomycota;Agaricomycetes;Polyporales;;Donkioporia;Donkioporia expansa
56;43130;AF007542.1.1758;Kickxellomycotina;Kickxellales;Kickxellales;Spiromyces;Spiromyces;Spiromyces minutus
57;43171;AF007539.1.1759;Kickxellomycotina;Kickxellales;Kickxellales;Martensiomyces;Martensiomyces;Martensiomyces pterosporus
58;43334;AF007532.1.1780;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia braziliensis
59;43655;AF026632.1.1756;Basidiomycota;Agaricomycetes;Polyporales;;Albatrellus;Albatrellus syringae
60;44146;AF052403.1.1794;Entomophthoromycotina;Entomophthorales;Entomophthorales;Eryniopsis;Eryniopsis;Eryniopsis ptycopterae
61;44164;AF113431.1.1759;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor ramosissimus
62;44200;AF052406.1.1736;Entomophthoromycotina;Entomophthorales;Entomophthorales;Strongwellsea;Strongwellsea;Strongwellsea castrans
63;44680;AF007534.1.1757;Kickxellomycotina;Kickxellales;Kickxellales;Dipsacomyces;Dipsacomyces;Dipsacomyces acuminosporus
64;44685;AF007537.1.1754;Kickxellomycotina;Kickxellales;Kickxellales;Kickxella;Kickxella;Kickxella alabastrina
65;45080;AF113423.1.1771;Mucoromycotina;Mucorales;Mucorales;Cunninghamella;Cunninghamella;Cunninghamella polymorpha
66;45207;AB250155.1.1756;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. microsporus
67;45264;AF157123.1.1744;Mucoromycotina;Mucorales;Mucorales;Benjaminiella;Benjaminiella;Benjaminiella poitrasii
68;45427;AB287987.1.1801;Kickxellomycotina;Kickxellales;Kickxellales;Ramicandelaber;Ramicandelaber;Ramicandelaber brevisporus
69;45864;AF113424.1.1721;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Lobosporangium;Lobosporangium transversale
70;46082;AF007540.1.1816;Kickxellomycotina;Harpellales;Harpellales;Zancudomyces;Zancudomyces;Zancudomyces culisetae
71;46145;AB287985.1.2272;Kickxellomycotina;Kickxellales;Kickxellales;Mycoemilia;Mycoemilia;Mycoemilia scoparia
72;46183;AF157121.1.1751;Mucoromycotina;Mucorales;Mucorales;Backusella;Backusella;Backusella circina
73;46218;AF157132.1.1753;Mucoromycotina;Mucorales;Mucorales;Dicranophora;Dicranophora;Dicranophora fulva
74;46372;AF157141.1.1749;Mucoromycotina;Mucorales;Mucorales;Hyphomucor;Hyphomucor;Hyphomucor assamensis
75;46387;AB295426.1.3203;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia sp. ID05-F0237
76;46396;AF113426.1.1757;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor amphibiorum
77;46404;AF157149.1.1750;Mucoromycotina;Mucorales;Mucorales;Parasitella;Parasitella;Parasitella parasitica
78;46419;AF157155.1.1787;Mucoromycotina;Mucorales;Mucorales;Poitrasia;Poitrasia;Poitrasia circinans
79;46659;AF007541.1.1798;Kickxellomycotina;Kickxellales;Kickxellales;Spirodactylon;Spirodactylon;Spirodactylon aureum
80;46918;AF157137.1.1743;Mucoromycotina;Mucorales;Mucorales;Gongronella;Gongronella;Gongronella butleri
81;46975;AF113410.1.1755;Mucoromycotina;Mucorales;Mucorales;Absidia;Absidia;Absidia repens
82;47089;AF157122.1.1754;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor ctenidius
83;47244;AF052402.1.1748;Entomophthoromycotina;Entomophthorales;Entomophthorales;Entomophthora;Entomophthora;Entomophthora schizophorae
84;47312;AF157129.1.1748;Mucoromycotina;Mucorales;Mucorales;Circinomucor;Circinomucor;Circinomucor circinelloides
